sub_ID,Q6_consent,Q8_covid_info,Q9_covid_knowledge,Q10_rank_attention_to_news,Q13_1_trust_doctor_news,Q13_trust_hospital_news,Q13_trust_cdc_news,Q13_trust_government_news,Q14_confidence_us_government,Q16_Belief_scientists_understand_covid,Q17_concerned_outbreak,Q18_likely_to_catch_covid,Q20_ability_to_protect_self,Q21_expected_symptom_severity,Q101_confidence_in_authority,Q23_risk_exaggerated,Q27_wearing_mask,Q35_take_vaccine_,Q40_age,Q40_age_bin,Q41_gender,Q74_education,Q84_community,Q43_health_1_5_,Q39_flu_vaccine,Q44_contact_covid,Q85_pre_exisiting_conditions,Q92_friends_family_preexisiting_conditions
29,1,A lot, A moderate amount,9,TRUE,FALSE,TRUE,FALSE,1,7,A little,5,75,2,31,somewhat disagree,sick people,definitely,49,45-49,m,professional degree,small city/town,5,TRUE,no,no,no
30,1,A lot, A moderate amount,7,FALSE,TRUE,TRUE,FALSE,3,5, A moderate amount,85,70,3,80,strongly agree,sick people,probably,30,30-34,f,professional degree,suburb,5,TRUE,yes,no,yes
33,1,A lot, A moderate amount,9,TRUE,FALSE,TRUE,FALSE,1,7, A moderate amount,35,85,3,50,somewhat disagree,sick people,unsure,56,55-59,m,doctorate,suburb,4,FALSE,no,yes,no
36,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,1,9,A little,50,80,4,10,strongly disagree,sick people,definitely,59,55-59,m,doctorate,suburb,5,FALSE,unsure,yes,yes
40,1, A moderate amount,A little,7,FALSE,FALSE,TRUE,FALSE,1,6,A little,70,70,3,40,strongly disagree,sick people,definitely,32,30-34,f,professional degree,suburb,4,TRUE,no,no,yes
42,1,A lot, A moderate amount,9,FALSE,FALSE,TRUE,FALSE,6,7,A little,68,80,3,76,strongly disagree,sick people,definitely,61,60-64,m,doctorate,large city,4,TRUE,no,yes,unsure
45,1, A moderate amount,A little,4,FALSE,FALSE,TRUE,FALSE,4,5,A little,75,57,4,53,strongly disagree,everyone,definitely,24,20-24,m,some college,suburb,3,FALSE,no,no,unsure
51,1, A moderate amount, A moderate amount,7,FALSE,FALSE,FALSE,FALSE,4,7,A little,50,50,3,30,somewhat disagree,sick people,definitely,46,45-49,f, 4 year degree,suburb,3,TRUE,unsure,no,no
53,1,A lot,A lot,9,FALSE,FALSE,FALSE,FALSE,6,8, A moderate amount,60,90,2,30,strongly disagree,sick people,definitely,31,30-34,f,doctorate,suburb,5,FALSE,unsure,no,no
54,1, A moderate amount,A little,7,FALSE,FALSE,TRUE,FALSE,4,7, A moderate amount,40,81,3,30,somewhat disagree,sick people,probably,39,35-39,f,professional degree,suburb,2,TRUE,no,yes,yes
56,1,A lot, A moderate amount,10,FALSE,FALSE,TRUE,FALSE,1,8, A moderate amount,53,63,3,12,strongly disagree,sick people,definitely,49,45-49,f,doctorate,large city,5,TRUE,unsure,no,yes
